Diastolic blood pressure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
medcodeid,term,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,old_code,june_2024,update
619931000006119,Diastolic arterial pressure,376729291,246A,246A.00,1091811000000102,1,1,
2533636015,Average home diastolic blood pressure,2887351,246c,246c.00,413605002,1,1,
1780183016,Standing diastolic blood pressure,1121919,246P,246P.00,400975005,1,1,
2159156012,Sitting diastolic blood pressure,810910,246R,246R.00,407555005,1,1,
458825018,Average 24 hour diastolic blood pressure,301609,246V,246V.00,314462001,1,1,
458824019,Average day interval diastolic blood pressure,227031,246X,246X.00,314461008,1,1,
11924381000006114,O/E - Diastolic BP reading,145567,^ESCT1192438,,163031004,1,1,
458823013,Average night interval diastolic blood pressure,143418,246a,246a.00,314460009,1,1,
2159158013,Lying diastolic blood pressure,143256,246T,246T.00,407557002,1,1,
298311000000112,Ambulatory diastolic blood pressure,103027,246f,246f.00,198091000000104,1,1,
14536471000006113,Self reported diastolic blood pressure,62635,^ESCT1453647,,1162735000,1,1,
125231000006119,Standing Diastolic Bp,46575,EGTON416,,125231000006103,1,1,
1993951000006110,Home diastolic blood pressure,23185,EMISNQHO138,,1993951000006106,1,1,
458816012,Average diastolic blood pressure,17532,246m,246m.00,314453003,1,1,
1808021000006115,Diastolic blood pressure - left arm,11321,EMISNQDI86,,1808021000006104,1,1,
1808051000006112,Diastolic blood pressure - right arm,10254,EMISNQDI87,,1808051000006108,1,1,
5527211000006110,Diastolic blood pressure,7926,^ESCTDI552721,,271650006,1,1,
2418921000000115,Baseline diastolic blood pressure,6206,246n0,246n000,716632005,1,1,
80224019,Diastolic hypertension,5722,G203,G203.00,48146000,1,1,
6046321000006114,24 hour diastolic blood pressure,511,^ESCT24604632,,314465004,1,1,
6046181000006111,Minimum diastolic blood pressure,300,^ESCTMI604618,,314451001,1,1,
6046191000006114,Maximum diastolic blood pressure,119,^ESCTMA604619,,314452008,1,1,
6046261000006113,Maximum 24 hour diastolic blood pressure,119,^ESCTMA604626,,314459004,1,1,
6046231000006116,Minimum 24 hour diastolic blood pressure,97,^ESCTMI604623,,314456006,1,1,
4660711000006111,Non-invasive diastolic arterial pressure,68,^ESCTNO466071,,174255007,1,1,
3372531000006111,Normal diastolic arterial pressure,56,^ESCTNO337253,,53813002,1,1,
6046241000006114,Maximum night interval diastolic blood pressure,34,^ESCTMA604624,,314457002,1,1,
6046221000006119,Minimum night interval diastolic blood pressure,33,^ESCTMI604622,,314455005,1,1,
6046251000006111,Maximum day interval diastolic blood pressure,32,^ESCTMA604625,,314458007,1,1,
6046211000006110,Minimum day interval diastolic blood pressure,32,^ESCTMI604621,,314454009,1,1,
3636695013,Diastolic hypertension and systolic hypertension,28,^ESCT1169187,,762463000,1,1,
2869171000006111,Increased diastolic arterial pressure,13,^ESCTIN286917,,23154005,1,1,
5295081000006115,Invasive diastolic arterial pressure,8,^ESCTIN529508,,251073000,1,1,
2616401000000117,Non-invasive central diastolic blood pressure,6,246o1,,1036571000000105,1,1,
3306781000006110,Abnormal diastolic arterial pressure,6,^ESCTAB330678,,49844009,1,1,
3565371000006115,Labile diastolic hypertension,5,^ESCTLA356537,,65518004,1,1,
3188121000006118,Decreased diastolic arterial pressure,4,^ESCTDE318812,,42689008,1,1,
3710191000006113,Secondary diastolic hypertension,3,^ESCTSE371019,,74451002,1,1,
5527241000006114,Diastolic arterial pressure,3,^ESCTDI552724,,271650006,1,1,
5527231000006116,DBP - Diastolic blood pressure,2,^ESCTDB552723,,271650006,1,1,
3636696014,Diastolic hypertension co-occurrent with systolic hypertension,2,^ESCT1169189,,762463000,1,1,
3470001000006117,Sustained diastolic hypertension,2,^ESCTSU347000,,59720008,1,1,
3306791000006113,Abnormal diastolic blood pressure,1,^ESCTAB330679,,49844009,1,1,
3636694012,Combined diastolic and systolic hypertension,1,^ESCT1169188,,762463000,1,1,
2869181000006114,High diastolic arterial pressure,1,^ESCTHI286918,,23154005,1,1,
4556631000006113,On examination - Diastolic BP reading,1,^ESCTON455663,,163031004,1,1,
3372551000006116,Normal diastolic arterial,1,^ESCTNO337255,,53813002,1,1,
4660721000006115,Non-invasive diastolic blood pressure,,,,,1,0,
7321231000006110,Diastolic blood pressure on admission,,,,,1,0,
8057991000006115,Ambulatory diastolic BP (blood pressure),,,,,1,0,
4556621000006110,On examination - Diastolic blood pressure reading,,,,,1,0,
