Height value,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
medcodeid,term,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,old_code,june_2024,update
253669010,Standing height,114629446,229,229..00,248333004,1,1,
11905141000006112,O/E - height,205715,^ESCT1190514,,162755006,1,1,
253676017,O/E - height NOS,202272,229Z,229Z.00,248333004,1,1,
253866018,Height and weight,101146,22Z,22Z..00,162879003,1,1,
14452941000006118,Body height,16392,^ESCT1445294,,1153637007,1,1,
1910921000006114,Estimated height,12529,EMISNQES11,,1910921000006105,1,1,
3315721000006119,Body height,12379,^ESCTBO331572,,50373000,1,1,
5892171000006118,Finding of measures of body height and growth,6658,^ESCTFI589217,,301330009,1,1,
1910931000006112,Reported height,5999,EMISNQRE470,,1910931000006108,1,1,
923831000006115,O/E - height,4974,PCNQOE1,,923831000006104,1,1,
3315711000006110,Body height measure,3420,^ESCTBO331571,,50373000,1,1,
2374191000000113,Predicted adult height,1748,64h,64h..00,925951000000105,,1,1
5526601000006112,Height / growth measure,1073,^ESCTHE552660,,271603002,1,1,
14532981000006117,Self reported body height,741,^ESCT1453298,,1162419008,1,1,
15124361000006117,Patient height,702,^ESCT1512436,,54871000237100,1,1,
5256071000006119,General finding of height,244,^ESCTGE525607,,248327008,1,1,
4551671000006115,On examination - height,146,^ESCTON455167,,162755006,1,1,
14413201000006113,Self reported body height,20,^ESCT1441320,,1047021000000101,1,1,
957731000006119,Height weight & BP,6,TRISHE1,,957731000006103,1,1,
2729021000006118,Measuring height of patient,2,^ESCTME272902,,14456009,1,1,
7403681000006114,Patient-height measure,2,^ESCTPA740368,,462588003,1,1,
