Systolic blood pressure,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
medcodeid,term,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,old_code,june_2024,update
114311000006111,Systolic arterial pressure,376512000,2469,2469.00,72313002,1,1,
2533615017,Average home systolic blood pressure,2914327,246d,246d.00,413606001,1,1,
1780182014,Standing systolic blood pressure,1158198,246N,246N.00,400974009,1,1,
2159155011,Sitting systolic blood pressure,838125,246Q,246Q.00,407554009,1,1,
458812014,Average 24 hour systolic blood pressure,305011,246W,246W.00,314449000,1,1,
458809011,Average day interval systolic blood pressure,230100,246Y,246Y.00,314446007,1,1,
11903371000006115,O/E - Systolic BP reading,147222,^ESCT1190337,,163030003,1,1,
2159157015,Lying systolic blood pressure,145398,246S,246S.00,407556006,1,1,
458808015,Average night interval systolic blood pressure,143862,246b,246b.00,314445006,1,1,
298281000000114,Ambulatory systolic blood pressure,105056,246e,246e.00,198081000000101,1,1,
93494011,Systolic hypertension,83157,G202,G202.00,56218007,1,1,
14536491000006114,Self reported systolic blood pressure,62668,^ESCT1453649,,1162737008,1,1,
125251000006114,Standing Systolic Bp,46308,EGTON415,,125251000006105,1,1,
1808011000006111,Systolic blood pressure - left arm,31433,EMISNQSY8,,1808011000006107,1,1,
1994021000006115,Home systolic blood pressure,24727,EMISNQHO139,,1994021000006104,1,1,
1808041000006110,Systolic blood pressure - right arm,22752,EMISNQSY9,,1808041000006106,1,1,
458803012,Average systolic blood pressure,17405,246l,246l.00,314440001,1,1,
5527191000006114,Systolic blood pressure,9452,^ESCTSY552719,,271649006,1,1,
2418961000000111,Baseline systolic blood pressure,5937,246n1,246n100,716579001,1,1,
1760931000000113,Highest brachial systolic pressure,4523,58583,5858300,787541000000108,1,1,
3676271000006117,Systolic blood pressure,771,^ESCTSY367627,,72313002,1,1,
6046311000006118,24 hour systolic blood pressure,581,^ESCT24604631,,314464000,1,1,
6046061000006117,Maximum systolic blood pressure,424,^ESCTMA604606,,314439003,1,1,
6046151000006115,Maximum 24 hour systolic blood pressure,138,^ESCTMA604615,,314448008,1,1,
6620591000006114,Systolic blood pressure on admission,115,^ESCTSY662059,,399304008,1,1,
6046141000006117,Minimum 24 hour systolic blood pressure,101,^ESCTMI604614,,314447003,1,1,
6046051000006119,Minimum systolic blood pressure,99,^ESCTMI604605,,314438006,1,1,
2705391000006113,Normal systolic arterial pressure,98,^ESCTNO270539,,12929001,1,1,
7103581000006114,Systolic essential hypertension,41,^ESCTSY710358,,429457004,1,1,
6046111000006116,Maximum day interval systolic blood pressure,36,^ESCTMA604611,,314444005,1,1,
6046101000006119,Maximum night interval systolic blood pressure,35,^ESCTMA604610,,314443004,1,1,
6046081000006110,Minimum day interval systolic blood pressure,33,^ESCTMI604608,,314441002,1,1,
6046091000006113,Minimum night interval systolic blood pressure,29,^ESCTMI604609,,314442009,1,1,
3636695013,Diastolic hypertension and systolic hypertension,28,^ESCT1169187,,762463000,1,1,
2725431000000119,Level of reduction in systolic blood pressure on standing,21,^ESCT1171522,,1087991000000109,1,1,
7615071000006115,Post exercise systolic blood pressure response normal,13,^ESCTPO761507,,707304009,1,1,
7615061000006110,Post exercise systolic blood pressure response abnormal,8,^ESCTPO761506,,707303003,1,1,
2786481000006111,Increased systolic arterial pressure,7,^ESCTIN278648,,18050000,1,1,
2616361000000114,Non-invasive central systolic blood pressure,7,246o0,,1036551000000101,,1,1
2791691000006118,Abnormal systolic arterial pressure,4,^ESCTAB279169,,18352002,1,1,
8057971000006116,Ambulatory systolic BP (blood pressure),2,^ESCTAM805797,,198081000000101,1,1,
3636696014,Diastolic hypertension co-occurrent with systolic hypertension,2,^ESCT1169189,,762463000,1,1,
2786501000006118,High systolic arterial pulse pressure,2,^ESCTHI278650,,18050000,1,1,
2705401000006110,Normal systolic blood pressure,2,^ESCTNO270540,,12929001,1,1,
3636694012,Combined diastolic and systolic hypertension,1,^ESCT1169188,,762463000,1,1,
2786491000006114,High systolic arterial pressure,1,^ESCTHI278649,,18050000,1,1,
1928511000006116,Baseline systolic blood pressure,,,,,1,0,
4556601000006117,On examination - Systolic blood pressure reading,,,,,1,0,
5295041000006114,Non-invasive systolic blood pressure,,,,,1,0,
