Weight value,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
medcodeid,term,Observations,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,old_code,june_2024,update
253677014,Body weight,189697320,22A,22A..00,27113001,1,1,
451201014,Weight monitoring,20293284,66C-1,66C..11,307818003,1,1,
252192019,Weight decreasing,388547,1623,1623.00,161832001,1,1,
59311000006113,Weight symptom,351681,162,162..00,161829004,1,1,
252191014,Weight increasing,302532,1622,1622.00,161831008,1,1,
11905011000006114,O/E - weight,212136,^ESCT1190501,,162763007,1,1,
253688015,O/E - weight NOS,189936,22AZ,22AZ.00,27113001,1,1,
7879461000006116,Weight,110470,^ESCTWE787946,,726527001,1,1,
253866018,Height and weight,101146,22Z,22Z..00,162879003,1,1,
1780175010,Baseline weight,74652,22A7,22A7.00,400967004,1,1,
2536041016,Weight static,24842,1621-1,1621.11,271398006,1,1,
59281000006111,Weight screening,16743,6878-1,6878.11,804271000000109,1,1,
1910901000006116,Estimated weight,12350,EMISNQES10,,1910901000006100,1,1,
5256391000006115,Weight for height,10765,^ESCTWE525639,,248358009,1,1,
1910911000006118,Reported weight,10343,EMISNQRE469,,1910911000006102,1,1,
395292011,Weigher/measurer,4972,0G15,0G15.00,266054001,,1,1
6251171000006114,Usual body weight,4565,^ESCTUS625117,,363809009,,1,1
13638231000006115,Self reported body weight,2500,^ESCT1363823,,784399000,1,1,
4150511000006113,Weight finding,1492,^ESCTWE415051,,107647005,1,1,
7309791000006112,Dry body weight,670,^ESCTDR730979,,445541000,1,1,
1219023012,Sample weight,294,4I5,4I5..00,1009131000000104,1,1,
4551811000006113,On examination - weight,235,^ESCTON455181,,162763007,1,1,
923851000006110,O/E - weight,135,PCNQOE3,,923851000006106,1,1,
15124981000006111,Patient weight,107,^ESCT1512498,,55491000237100,1,1,
7297941000006116,Weight/weight ratio,94,^ESCTWE729794,,444793006,1,1,
3514400010,Current body weight,58,^ESCT1165415,,735395000,1,1,
2934311000006118,Weight,52,^ESCTWE293431,,27113001,1,1,
6251151000006116,Body weight measure,44,^ESCTBO625115,,363808001,1,1,
5533851000006117,Weights,37,^ESCTWE553385,,272102008,1,1,
7309801000006113,Dry weight,28,^ESCTDR730980,,445541000,1,1,
7879471000006111,Weight (property),16,^ESCTWE787947,,726527001,1,1,
3484791000006113,Weight: body mass,6,^ESCTWE348479,,60621009,1,1,
4636941000006119,IBW - Ideal body weight,6,^ESCTIB463694,,170804003,,1,1
4986041000006113,kcal/kg body weight,5,^ESCTKC498604,,228910000,1,1,
7037161000006118,Body weight without shoes,3,^ESCTBO703716,,425024002,1,1,
4986261000006116,g/kg body weight,2,^ESCTGK498626,,228919004,1,1,
923871000006117,Ideal weight,1,PCNQID1,,923871000006101,,1,1
