Black ,Unnamed: 1,Unnamed: 2
,,
medcodeid,Term,category code
459730016,Black - ethnic group,Black
30683015,Black African,Black
411574019,Black Arab,Black
285950013,Black Black - other,Black
285932018,Black British,Black
157311000000119,Black British - ethnic category 2001 census,Black
514611000006111,Black Caribbean,Black
285930014,Black Caribbean,Black
405064011,Black Caribbean/W.I./Guyana,Black
514651000006112,Black E Afric Asia/Indo-Caribb,Black
411576017,Black East African Asian,Black
453110019,Black Guyana,Black
285948017,Black Indian sub-continent,Black
411577014,Black Indo-Caribbean,Black
411575018,Black Iranian,Black
405065012,Black N African/Arab/Iranian,Black
411573013,Black North African,Black
453109012,Black West Indian,Black
285931013,"Black, other, non-mixed origin",Black
285943014,Black - other African country,Black
285949013,Black - other Asian,Black
285951012,"Black - other, mixed",Black
141391000000115,African - ethnic category 2001 census,Black
1968541000006113,African: any other African - Scotland ethnic cat 2011 census,Black
1968201000006114,Black/Afr/Carib/Black Brit: other Black- Eng+Wales 2011 cens,Black
1968351000006119,Black/Afri/Carib/Black Brit: African- NI eth cat 2011 census,Black
1968361000006117,Black/Afri/Carib/Black Brit: Caribbean- NI eth cat 2011 cens,Black
1968371000006112,Black/Afri/Carib/Black Brit: other - NI eth cat 2011 census,Black
1968181000006113,Black/African/Carib/Black Brit: African- Eng+Wales 2011 cens,Black
1968191000006111,Black/African/Caribbn/Black Brit: Caribbean - Eng+Wales 2011,Black
1968571000006117,Carib/Black: any other Black/Caribbean grp - Scotland 2011,Black
1968561000006112,Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens,Black
1968551000006110,Carib/Black: Caribbean/Carib Scot/Carib Brit- Scotland 2011,Black
154401000000118,Caribbean - ethnic category 2001 census,Black
405067016,Caribbean I./W.I./Guyana (NMO),Black
411578016,Caribbean Island (NMO),Black
411580010,Guyana (NMO),Black
158371000000111,Mixed Black - ethnic category 2001 census,Black
1751621000006114,NHS Sickle Cell and Thalassaemia Screening Programme family origin African or African-Caribbean (black),Black
141601000000119,Nigerian - ethnic category 2001 census,Black
285971015,Other African countries (NMO),Black
158351000000119,Other Black background - ethnic category 2001 census,Black
459782019,Other black ethnic group,Black
937731000006115,Other Black or Black unspecified ethnic category 2001 census,Black
250243013,Race: West indian,Black
141591000000113,Somali - ethnic category 2001 census,Black
411579012,West Indian (NMO),Black
250231012,West Indian origin,Black
