Other / Mixed ,Unnamed: 1,Unnamed: 2
,,
medcodeid,Term,category code
142901000000119,Any other group - ethnic category 2001 census,Other / Mixed
138251000000111,Arab - ethnic category 2001 census,Other / Mixed
158361000000116,Asian and Chinese - ethnic category 2001 census,Other / Mixed
250224013,Asian origin,Other / Mixed
1968161000006115,Asian/Asian Brit: Chinese - Eng+Wales ethnic cat 2011 census,Other / Mixed
1968171000006110,Asian/Asian Brit: other Asian- Eng+Wales eth cat 2011 census,Other / Mixed
1968331000006114,Asian/Asian British: Chinese - NI ethnic cat 2011 census,Other / Mixed
1968341000006116,Asian/Asian British: other Asian - NI ethnic cat 2011 census,Other / Mixed
1968511000006114,Asian: Chinese - Scotland ethnic category 2011 census,Other / Mixed
1968521000006118,Asian: other Asian group - Scotland ethnic cat 2011 census,Other / Mixed
460154012,Black African and White,Other / Mixed
141471000000113,Black and Asian - ethnic category 2001 census,Other / Mixed
141481000000110,Black and Chinese - ethnic category 2001 census,Other / Mixed
157291000000115,Black and White - ethnic category 2001 census,Other / Mixed
460153018,Black Caribbean and White,Other / Mixed
285959014,Brit. ethnic minor. spec.(NMO),Other / Mixed
285960016,Brit. ethnic minor. unsp (NMO),Other / Mixed
141571000000114,Caribbean Asian - ethnic category 2001 census,Other / Mixed
56590016,Chinese,Other / Mixed
141401000000117,Chinese - ethnic category 2001 census,Other / Mixed
141491000000112,Chinese and White - ethnic category 2001 census,Other / Mixed
405069018,E Afric Asian/Indo-Carib (NMO),Other / Mixed
141641000000116,Filipino - ethnic category 2001 census,Other / Mixed
411584018,Indo-Caribbean (NMO),Other / Mixed
1564941000006117,Iranian,Other / Mixed
138261000000114,Iranian - ethnic category 2001 census,Other / Mixed
411582019,Iranian (NMO),Other / Mixed
1564951000006115,Iraqi,Other / Mixed
142831000000116,Israeli - ethnic category 2001 census,Other / Mixed
141631000000113,Japanese - ethnic category 2001 census,Other / Mixed
142841000000113,Kurdish - ethnic category 2001 census,Other / Mixed
