South Asian ,Unnamed: 1,Unnamed: 2
,,
medcodeid,Term,category code
1564921000006112,Indian,South Asian 
250228011,Indian origin,South Asian 
285954016,Indian,South Asian 
781081000006113,Indian,South Asian 
157271000000119,Indian or British Indian - ethnic category 2001 census,South Asian 
285976013,Indian sub-continent (NMO),South Asian 
1968491000006115,"Asian: Indian, Indian Scot/Indian Brit- Scotland 2011 census",South Asian 
1565441000006111,Pakistani,South Asian 
285955015,Pakistani,South Asian 
141361000000114,Pakistani or British Pakistani - ethnic category 2001 census,South Asian 
196721000006111,RACE: Pakistani,South Asian 
1968481000006118,Asian: Pakistani/Pakistani Scot/Pakistani Brit- Scot 2011,South Asian 
1564291000006119,Bangladeshi,South Asian 
196631000006117,RACE: Bangladeshi,South Asian 
285956019,Bangladeshi,South Asian 
937541000006115,Bangladeshi or British Bangladeshi - ethn categ 2001 census,South Asian 
1968501000006111,"Bangladeshi, Bangladeshi Scot or Bangladeshi Brit- Scot 2011",South Asian 
141521000000110,Punjabi - ethnic category 2001 census,South Asian 
141551000000117,Tamil - ethnic category 2001 census,South Asian 
157301000000116,Sinhalese - ethnic category 2001 census,South Asian 
141531000000112,Kashmiri - ethnic category 2001 census,South Asian 
141541000000115,East African Asian - ethnic category 2001 census,South Asian 
136081000000111,Sri Lankan - ethnic category 2001 census,South Asian 
286018012,South East Asian,South Asian 
411583012,East African Asian (NMO),South Asian 
1968131000006112,Asian/Asian Brit: Indian - Eng+Wales ethnic cat 2011 census,South Asian 
1968141000006119,Asian/Asian British:Pakistani- Eng+Wales eth cat 2011 census,South Asian 
1968151000006117,Asian/Asian Brit: Bangladeshi- Eng+Wales eth cat 2011 census,South Asian 
1968301000006118,Asian or Asian British: Indian - NI ethnic cat 2011 census,South Asian 
1968311000006115,Asian/Asian British: Pakistani - NI ethnic cat 2011 census,South Asian 
1968321000006111,Asian/Asian British: Bangladeshi - NI ethnic cat 2011 census,South Asian 
141561000000119,British Asian - ethnic category 2001 census,South Asian 
1751651000006117,NHS Sickle Cell and Thalassaemia Screening Programme family origin South Asia (Asian),South Asian 
1751661000006115,NHS Sickle Cell and Thalassaemia Screening Programme India or African-Indian family origin,South Asian 
1751671000006110,NHS Sickle Cell and Thalassaemia Screening Programme Pakistan family origin,South Asian 
1751681000006113,NHS Sickle Cell and Thalassaemia Screening Programme Bangladesh family origin,South Asian 
1751691000006111,NHS Sickle Cell and Thalassaemia Screening Programme family origin South East Asia (Asian),South Asian 
