White ,Unnamed: 1,Unnamed: 2
,,
medcodeid,Term,category code
285925010,White,White
459726019,White British,White
459727011,White Irish,White
1780407014,White Scottish,White
1064041000000111,White Irish - ethnic category 2001 census,White
1063981000000117,White British - ethnic category 2001 census,White
2486161000000112,White - Northern Ireland ethnic category 2011 census,White
1968051000006116,White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census,White
2487281000000112,White: Scottish - Scotland ethnic category 2011 census,White
2487481000000113,White: Polish - Scotland ethnic category 2011 census,White
1968461000006111,White: other White ethnic grp- Scotland ethnic cat 2011 cens,White
1968081000006112,White: other White backgrd- Eng+Wales ethnic cat 2011 census,White
2487321000000116,White: other British - Scotland ethnic category 2011 census,White
2487361000000112,White: Irish - Scotland ethnic category 2011 census,White
2484671000000118,White: Irish - England and Wales ethnic category 2011 census,White
1968441000006112,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens,White
1968071000006114,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census,White
141441000000119,Welsh - ethnic category 2001 census,White
142691000000116,Ulster Scots - ethnic category 2001 census,White
405071018,Turkish/Turkish Cypriot (NMO),White
411597016,Turkish Cypriot (NMO),White
142721000000113,Turkish Cypriot - ethnic category 2001 census,White
411596013,Turkish (NMO),White
156921000000110,Turkish - ethnic category 2001 census,White
138181000000111,Traveller - ethnic category 2001 census,White
157991000000110,Serbian - ethnic category 2001 census,White
141431000000111,Scottish - ethnic category 2001 census,White
2645811000000115,Roma ethnic group,White
2537217015,Race: White,White
196641000006110,RACE: Caucasian,White
138201000000110,Polish - ethnic category 2001 census,White
937411000006115,Other White or White unspecified ethnic category 2001 census,White
459728018,Other white ethnic group,White
1780408016,Other white British ethnic group,White
141311000000112,Other White background - ethnic category 2001 census,White
937371000006116,Other republics former Yugoslavia - ethnic categ 2001 census,White
142791000000111,Other mixed White - ethnic category 2001 census,White
285987017,Other European (NMO),White
937391000006115,Oth White European/European unsp/Mixed European 2001 census,White
141451000000116,Northern Irish - ethnic category 2001 census,White
1751811000006117,NHS Sickle Cell and Thalassaemia Screening Programme family origin United Kingdom (white),White
1751771000006117,NHS Sickle Cell and Thalassaemia Screening Programme family origin Southern and other European (white),White
1751821000006113,NHS Sickle Cell and Thalassaemia Screening Programme family origin Northern European (white),White
286006015,New Zealand ethnic groups,White
142781000000114,Mixed Irish and other White - ethnic category 2001 census,White
142741000000118,Kosovan - ethnic category 2001 census,White
158481000000115,Italian - ethnic category 2001 census,White
1968251000006113,Irish Traveller - Northern Ireland ethnic cat 2011 census,White
138171000000114,Irish Traveller - ethnic category 2001 census,White
459786016,Irish traveller,White
285978014,Irish (NMO),White
141301000000110,Irish - ethnic category 2001 census,White
1564961000006118,Irish,White
138191000000113,Gypsy/Romany - ethnic category 2001 census,White
405070017,Greek/Greek Cypriot (NMO),White
411595012,Greek Cypriot (NMO),White
142711000000119,Greek Cypriot - ethnic category 2001 census,White
411594011,Greek (NMO),White
142701000000116,Greek - ethnic category 2001 census,White
157281000000117,English - ethnic category 2001 census,White
141661000000115,Cypriot (part not stated) - ethnic category 2001 census,White
142761000000117,Croatian - ethnic category 2001 census,White
141461000000118,Cornish - ethnic category 2001 census,White
6846371000006111,Caucasian,White
158341000000117,British or mixed British - ethnic category 2001 census,White
142751000000115,Bosnian - ethnic category 2001 census,White
138231000000116,Albanian - ethnic category 2001 census,White
