Never smoked,Unnamed: 1,Unnamed: 2
,,
medcodeid,term,category code
1009271000006118,Non Smoker - Nos,never smoked 
1123751000000113,Non-smoker annual review - enhanced services administration,never smoked 
1154431000000112,Non-smoker annual review,never smoked 
14866014,Non-smoker,never smoked 
397732011,Never smoked tobacco,never smoked 
6718071000006115,Current non smoker but past smoking history unknown,never smoked 
72373013,Passive smoker,never smoked 
7569061000006118,Never used tobacco,never smoked 
854951000006113,Grade A non-smoker,never smoked 
903051000006112,Tobacco Consumption Nil,never smoked 
904111000006113,Carbon monoxide validation confirms non-smoker,never smoked 
