snomed	term
1227722017	ckd
305192017	ckd
354417015	ckd
480871000006117	ckd
454255014	ckd
1847111000006118	ckd
2195661000000114	ckd
2195721000000112	ckd
2773184015	ckd
304071000000115	ckd
994421000006111	ckd
7966691000006116	ckd
595811000000117	ckd
595871000000110	ckd
557811000000119	ckd
595931000000116	ckd
595991000000115	ckd
557831000000110	ckd
596051000000115	ckd
596131000000114	ckd
2767385013	ckd
304091000000116	ckd
7966641000006113	ckd
596191000000110	ckd
596261000000111	ckd
2767154014	ckd
304111000000114	ckd
994441000006116	ckd
7966611000006114	ckd
596321000000110	ckd
596401000000111	ckd
8345931000006110	ckd
8346001000006110	ckd
8346021000006117	ckd
509111010	ckd
3973811000006118	ckd
8104231000006115	ckd
8104261000006112	ckd
8104301000006115	ckd
8104381000006112	ckd
8104451000006111	ckd
8104551000006112	ckd
1940621000006111	ckd
1940631000006114	ckd
1940641000006116	ckd
1940651000006119	ckd
1940661000006117	ckd
1940671000006112	ckd
1940501000006119	ckd
1940511000006116	ckd
1940521000006112	ckd
1940531000006110	ckd
1940541000006117	ckd
1940551000006115	ckd
7174791000006111	ckd
618431000000114	ckd
618441000000117	ckd
618451000000119	ckd
618461000000116	ckd
618471000000111	ckd
618481000000113	ckd
7147781000006115	ckd
618491000000110	ckd
618501000000116	ckd
7174851000006111	ckd
618511000000119	ckd
618521000000113	ckd
278835013	ckd
1927751000006113	ckd
1848741000006116	ckd
3973841000006119	ckd
616551000006111	ckd
914261000006119	ckd
619541000006116	ckd
3245881000006114	ckd
3245841000006115	ckd
215521000000116	ckd
641471000006117	ckd
641491000006116	ckd
12704471000006116	ckd
3245861000006116	ckd
3245871000006111	ckd
3245851000006118	ckd
5120141000006114	ckd
349998013	ckd
2240871000000116	ckd
5907591000006115	ckd
8044061000006119	ckd
299673010	ckd
299665018	ckd
2237861000000114	ckd
1870801000006111	ckd
754781000006116	ckd
638111000000115	ckd
280531000006119	ckd
587521000006111	ckd
278834012	ckd
375841000000114	ckd
176711000006111	ckd
914031000006118	ckd
84921000006110	ckd
2238301000000119	ckd
84551000006113	ckd
84611000006113	ckd
914271000006114	ckd
84981000006114	ckd
914041000006111	ckd
7966931000006114	t2d
84871000006117	t2d
7966791000006111	t2d
7966761000006115	t2d
881451000006113	t2d
3209441000006114	t2d
7968751000006116	t2d
3209431000006116	t2d
616481000006119	t2d
616491000006116	t2d
616511000006110	t2d
292483016	t2d
616531000006116	t2d
616541000006114	t2d
616561000006113	t2d
616571000006118	t2d
616581000006115	t2d
5109461000006115	t2d
6969931000006116	t2d
6982521000006119	t2d
264679015	t2d
1966321000006112	t2d
458512016	t2d
1780981000006115	t2d
2460251000000115	t2d
264681018	t2d
1966311000006116	t2d
616501000006112	t2d
14084101000006111	t2d
84951000006118	t2d
914051000006113	t2d
14083911000006113	t2d
8035211000006110	t2d
938321000006116	t2d
938331000006118	t2d
7969001000006112	t2d
8026041000006113	t2d
281211000006117	t2d
14083961000006111	t2d
12705081000006111	t2d
299621000000117	t2d
7480661000006114	t2d
14079871000006119	t2d
1488898011	t2d
850691000006118	t2d
1667891000000113	t2d
459169018	t2d
14090011000006118	t2d
1223148019	t2d
840951000006119	t2d
914391000006116	t2d
1223147012	t2d
841351000006110	t2d
8044221000006116	t2d
14083991000006115	t2d
928581000006111	t2d
6977421000006110	t2d
928601000006118	t2d
12704991000006114	t2d
928611000006115	t2d
8027521000006110	t2d
7966571000006116	t2d
84901000006117	t2d
14071211000006113	t2d
914071000006115	t2d
12704971000006113	t2d
84931000006113	t2d
8044171000006110	t2d
493773010	t2d
281161000006114	t2d
73466011	t2d
280571000006116	t2d
459309011	t2d
280511000006113	t2d
280521000006117	t2d
281181000006116	t2d
280541000006112	t2d
280581000006118	t2d
280591000006115	t2d
587111000006111	t2d
280561000006111	t2d
641581000006115	t2d
280551000006114	t2d
457328010	t2d
674961000006118	t2d
928561000006118	t2d
14083811000006118	t2d
928541000006117	t2d
14084041000006114	t2d
914241000006118	t2d
306113018	t2d
4796321000006113	t2d
8048421000006113	t2d
14084061000006113	t2d
914151000006112	t2d
197761014	t2d
84471000006119	t2d
84481000006116	t2d
2288071000000116	t2d
7281511000006118	t2d
459310018	t2d
84491000006118	t2d
84501000006114	t2d
914301000006111	t2d
292583018	t2d
84511000006112	t2d
4758011000006112	t2d
459167016	t2d
84521000006116	t2d
84531000006118	t2d
914221000006113	t2d
292577016	t2d
84541000006111	t2d
84561000006110	t2d
459313016	t2d
84571000006115	t2d
84581000006117	t2d
459308015	t2d
84591000006119	t2d
84601000006110	t2d
84621000006117	t2d
292579018	t2d
84631000006119	t2d
457329019	t2d
84641000006112	t2d
493774016	t2d
84841000006113	t2d
292589019	t2d
84851000006110	t2d
2288061000000111	t2d
292590011	t2d
281171000006119	t2d
459311019	t2d
84861000006112	t2d
914311000006114	t2d
292582011	t2d
84881000006119	t2d
1667921000000117	t2d
84891000006116	t2d
928591000006114	t2d
914231000006111	t2d
292576013	t2d
84911000006119	t2d
914081000006117	t2d
459312014	t2d
84941000006115	t2d
914061000006110	t2d
459306016	t2d
84961000006116	t2d
928571000006113	t2d
928551000006115	t2d
84971000006111	t2d
914251000006116	t2d
84991000006112	t2d
914161000006114	t2d
292581016	t2d
85001000006117	t2d
457330012	t2d
85011000006119	t2d
