medcodeid,term
1011861000006110,adverse reaction to antihypertensive drugs
1011871000006115,adverse reaction to vasodilator antihypertensive drugs
1011881000006117,adverse reaction to centrally acting antihypertensive drugs
107545013,hypertensive heart disease
108730018,malignant hypertensive renal disease
110659019,malignant hypertensive heart AND renal disease
11777411000006113,renal disease due to hypertension
12115621000006113,Referral for antihypertensive therapy
12487991000006113,hypertensive treatm.changed
12488211000006112,hypertension treatm. started
12488221000006116,hypertension treatm.stopped
12496011,hypertensive retinopathy
12726231000006115,adverse reaction to other antihypertensives
12726241000006113,adverse reaction to antihypertensives nos
131046010,malignant essential hypertension
13688011000006110,Multiple drug intolerant hypertension
1409014,benign hypertensive renal disease
143003017,hypertensive heart AND renal disease
14639941000006112,Cardiomegaly due to hypertension
14666061000006112,Hypertension treatment declined
14741831000006119,Hypertension due to congenital adrenal hyperplasia
15048621000006117,Haemorrhagic cerebral infarction due to hypertension
151161000006115,secondary malignant hypertension
1529013,blind hypertensive eye
153941000006118, seen in hypertension clinic
158241000006117,secondary hypertension nos
1706551000000114,hypertension 9 month review
1780252014,hypertension treatment refused
1780253016,hypertension six month review
1780318013,moderate hypertension control
1780319017,hypertension annual review
1806071000006118,stage 1 hypertension
1806081000006115,stage 2 hypertension
1806141000006113,severe hypertension
1823901000006112,hypertension confirmed
183856001,Referral to hypertension clinic
1846941000006119,stage 1 hypertension (nice - nat ins for hth clin excl 2011)
1846961000006115,severe hypertension (nat inst for health clinical ex 2011)
1846991000006111,stage 2 hypertension (nice - nat ins for hth clin excl 2011)
1858771000006114,AURAS-AF - consider the patient to have hypertension
1908711000006115,stage 1 hyperten (nice 2011) without evidnce end organ damge
1908721000006111,stage 1 hyperten (nice 2011) with evidnce end organ damge
19411000006110,other pre-exist hypertension in preg/childb/puerp + p/n comp
19421000006119,other pre-exist hypertension in preg/childb/puerp-not deliv
19431000006116,other pre-existing hypertension in preg/childb/puerp - deliv
19441000006114,other pre-existing hypertension in preg/childb/puerp nos
19451000006111,other pre-existing hypertension in preg/childb/puerp unspec
1992471000006116,vte risk assessment - uncontrolled systolic hypertension
2011000033113,antihypertensive drugs
2115801000000110,hypertension self-management plan review
2117971000000119,hypertension self-management plan agreed
212961000006118,pre-eclampsia or eclampsia + pre-existing hypertension nos
212971000006113, pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
212981000006111, pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication
212991000006114, pre-eclampsia or eclampsia with pre-existing hypertension - delivered
213001000006110, pre-eclampsia or eclampsia with pre-existing hypertension - not delivered
213081000006118,pre-exist 2ndry hypertens comp preg childbth and puerperium
213091000006115, pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium
213101000006114, pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerp
213111000006112,pre-exist hypertension compl preg childbirth and puerperium
2159168015,patient on maximal tolerated antihypertensive therapy
2193021000000110,severe hypertension
2193031000000112,stage 1 hypertension
2193971000000110,hypertension resistant to drug therapy
24184005,[D]Raised blood pressure reading  
2474335018,hypertension clinical management plan
2478822013,secondary benign renovascular hypertension
251674014,h/o: hypertension
2517301000006110,antihypertensive
