database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
AURUM,bp,bp_medication,10024941000033116,Bisoprolol 5mg / Aspirin 75mg capsules,0,
AURUM,bp,bp_medication,10025041000033116,Bisoprolol 5mg / Aspirin 100mg capsules,0,
AURUM,bp,bp_medication,10025141000033117,Bisoprolol 10mg / Aspirin 75mg capsules,0,
AURUM,bp,bp_medication,10025241000033112,Bisoprolol 10mg / Aspirin 100mg capsules,0,
AURUM,bp,bp_medication,10217641000033116,Molap 4mg tablets (Rivopharm (UK) Ltd),0,
AURUM,bp,bp_medication,1025141000033114,Oxyprenix-160-Sr  Sr tablets  160 mg,0,
AURUM,bp,bp_medication,1026041000033118,Oxprenolol 160mg modified-release tablets,0,
AURUM,bp,bp_medication,1026141000033119,Oxprenolol 20mg tablets,0,
AURUM,bp,bp_medication,1026241000033114,Oxprenolol 40mg tablets,0,
AURUM,bp,bp_medication,1026341000033116,Oxprenolol 80mg tablets,0,
AURUM,bp,bp_medication,1027241000033112,Oxprenolol Hydrochloride  Tablets  160 mg,0,
AURUM,bp,bp_medication,10387441000033111,Amlodipine 10mg/5ml oral solution sugar free,0,
AURUM,bp,bp_medication,10645041000033114,Lisinopril 5mg/5ml oral solution sugar free,0,
AURUM,bp,bp_medication,10650041000033116,Nadolol 20mg/5ml oral suspension,0,
AURUM,bp,bp_medication,10650141000033117,Nadolol 30mg/5ml oral suspension,0,
AURUM,bp,bp_medication,1067841000033115,Perindopril erbumine 2mg tablets,0,
AURUM,bp,bp_medication,1067941000033111,Perindopril erbumine 4mg tablets,0,
AURUM,bp,bp_medication,1070341000033119,Phenoxybenzamine 10mg capsules,0,
AURUM,bp,bp_medication,10713941000033113,Bumetanide 5mg/5ml oral suspension,0,
AURUM,bp,bp_medication,10741000033112,Acebutolol 400mg tablets,0,
AURUM,bp,bp_medication,1074841000033115,Phenoxybenzamine 100mg/2ml solution for infusion ampoules,0,
AURUM,bp,bp_medication,10841000033119,Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
