database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
GOLD,bp,bp_medication,1006,Half Inderal LA 80mg capsules (AstraZeneca UK Ltd),0,
GOLD,bp,bp_medication,10088,Doxadura 4mg tablets (Dexcel-Pharma Ltd),0,
GOLD,bp,bp_medication,10135,Nifedipress mr 10mg Modified-release tablet (Sandoz Ltd),0,
GOLD,bp,bp_medication,10136,Nifedipress MR 20 tablets (Dexcel-Pharma Ltd),0,
GOLD,bp,bp_medication,10153,Felendil xl 5mg Modified-release tablet (Ratiopharm UK Ltd),0,
GOLD,bp,bp_medication,10191,Atenix 50 tablets (Ashbourne Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,1021,Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd),0,
GOLD,bp,bp_medication,10214,Spironolactone 5mg/5ml oral suspension sugar free,0,
GOLD,bp,bp_medication,10246,Adipine XL 60mg tablets (Chiesi Ltd),0,
GOLD,bp,bp_medication,10267,Adizem-XL 200mg capsules (Napp Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,10316,coaprovel 150mg/12.5mg tablets (sanofi),0,
GOLD,bp,bp_medication,10323,Losartan 100mg / Hydrochlorothiazide 25mg tablets,0,
GOLD,bp,bp_medication,10429,Lopresor 50mg Tablet (Novartis Pharmaceuticals UK Ltd),0,
GOLD,bp,bp_medication,1048,Inderal 80mg tablets (AstraZeneca UK Ltd),0,
GOLD,bp,bp_medication,1050,Inderal 40mg tablets (AstraZeneca UK Ltd),0,
GOLD,bp,bp_medication,10595,Nimotop 30mg tablets (Bayer Plc),0,
GOLD,bp,bp_medication,1060,Amiloride 5mg tablets,0,
GOLD,bp,bp_medication,10627,Co-Betaloc tablets (Pfizer Ltd),0,
GOLD,bp,bp_medication,10716,Corgard 80mg tablets (Sanofi),0,
GOLD,bp,bp_medication,10777,Trasicor 160mg Tablet (Novartis Pharmaceuticals UK Ltd),0,
